公鸡	 cock
靛蓝雀,靛蓝鸟	 indigo bunting, indigo finch, indigo bird, Passerina cyanea
夜莺	 bulbul
欧洲火蝾螈	 European fire salamander, Salamandra salamandra
斑点蝾螈	 spotted salamander, Ambystoma maculatum
红海龟	 loggerhead, loggerhead turtle, Caretta caretta
鞭尾蜥蜴	 whiptail, whiptail lizard
飞龙科蜥蜴	 agama
美国鳄鱼,鳄鱼	 American alligator, Alligator mississipiensis
希腊蛇	 hognose snake, puff adder, sand viper
狼蛛	 tarantula
披肩鸡,披肩榛鸡	 ruffed grouse, partridge, Bonasa umbellus
硫冠鹦鹉	 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita
蜜蜂	 bee eater
蜗牛	 snail
寄居蟹	 hermit crab
欧洲水鸡,紫水鸡	 European gallinule, Porphyrio porphyrio
沼泽泥母鸡,水母鸡	 American coot, marsh hen, mud hen, water hen, Fulica americana
海狮	 sea lion
侦探犬	 bloodhound, sleuthhound
斯塔福德郡牛头梗,斯塔福德郡斗牛梗	 Staffordshire bullterrier, Staffordshire bull terrier
诺福克梗	 Norfolk terrier
凯恩梗	 cairn, cairn terrier
澳大利亚梗	 Australian terrier
标准雪纳瑞犬	 standard schnauzer
软毛麦色梗	 soft-coated wheaten terrier
威尔士史宾格犬	 Welsh springer spaniel
马里努阿犬	 malinois
罗特韦尔犬	 Rottweiler
莱昂贝格狗	 Leonberg
纽芬兰岛狗	 Newfoundland, Newfoundland dog
彭布洛克威尔士科基犬	 Pembroke, Pembroke Welsh corgi
豹子	 leopard, Panthera pardus
蝉	 cicada, cicala
灰蝶	 lycaenid, lycaenid butterfly
刺猬,豪猪	 porcupine, hedgehog
斑马	 zebra
水牛,亚洲水牛	 water buffalo, water ox, Asiatic buffalo, Bubalus bubalis
大角羊,洛矶山大角羊	 bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
犰狳	 armadillo
白头叶猴	 langur
鳗鱼	 eel
河豚	 puffer, pufferfish, blowfish, globefish
（小儿用的）围嘴	 bib
装订册	 binder, ring-binder
双筒望远镜	 binoculars, field glasses, opera glasses
饰扣式领带	 bolo tie, bolo, bola tie, bola
书店,书摊	 bookshop, bookstore, bookstall
铠甲	 breastplate, aegis, egis
大锅	 caldron, cauldron
蜡烛	 candle, taper, wax light
车镜	 car mirror
大提琴	 cello, violoncello
中国橱柜	 china cabinet, china closet
斗篷	 cloak
木屐,木鞋	 clog, geta, patten, sabot
数字时钟	 digital clock
门垫,垫子	 doormat, welcome mat
电力机车	 electric locomotive
信封	 envelope
消防车	 fire engine, fire truck
高尔夫球车	 golfcart, golf cart
手摇鼓风机,吹风机	 hand blower, blow dryer, blow drier, hair dryer, hair drier
熨斗	 iron, smoothing iron
平底便鞋	 Loafer
洗剂	 lotion
花柱	 maypole
巨石,巨石结构	 megalith, megalithic structure
口套	 muzzle
颈托	 neck brace
双簧管	 oboe, hautboy, hautbois
示波器	 oscilloscope, scope, cathode-ray oscilloscope, CRO
停车收费表,停车计时器	 parking meter
客车,教练车	 passenger car, coach, carriage
露台,阳台	 patio, terrace
付费电话	 pay-phone, pay-station
风车	 pinwheel
钱包	 purse
螺丝	 screw
障子	 shoji
滑尺	 slide rule, slipstick
皂液器	 soap dispenser
沙发床	 studio couch, day bed
套装,衣服	 suit, suit of clothes
悬索桥	 suspension bridge
电视	 television, television system
茅草,茅草屋顶	 thatch, thatched roof
瓦屋顶	 tile roof
凯旋门	 triumphal arch
钱包,皮夹	 wallet, billfold, notecase, pocketbook
水壶	 water jug
哨子	 whistle
炒菜锅	 wok
鳄梨酱	 guacamole
清汤	 consomme
无花果	 fig
菠萝蜜	 jackfruit, jak, jack
巧克力酱,巧克力糖浆	 chocolate sauce, chocolate syrup
杓兰	 yellow ladys slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum
地星	 earthstar
